seq,timestamp,rtt_ms,status,send_msg,ack_msg
51,2026-05-28T16:01:37,120.27741700001116,SUCCESS,"PING,51,1779955297.5296881","ACK,PING,51,1779955297.5296881,RSSI=-78"
52,2026-05-28T16:01:38,25.054457999999613,SUCCESS,"PING,52,1779955298.6554508","ACK,PING,52,1779955298.6554508,RSSI=-80"
53,2026-05-28T16:01:40,315.5318329999943,SUCCESS,"PING,53,1779955299.685699","ACK,PING,53,1779955299.685699,RSSI=-78"
54,2026-05-28T16:01:41,24.0784580000053,SUCCESS,"PING,54,1779955301.004964","ACK,PING,54,1779955301.004964,RSSI=-78"
55,2026-05-28T16:01:42,167.77791700000932,SUCCESS,"PING,55,1779955302.034237","ACK,PING,55,1779955302.034237,RSSI=-77"
56,2026-05-28T16:01:43,77.70175000000279,SUCCESS,"PING,56,1779955303.204006","ACK,PING,56,1779955303.204006,RSSI=-76"
57,2026-05-28T16:01:47,,TIMEOUT,"PING,57,1779955304.2871418",
58,2026-05-28T16:01:48,106.90887500000201,SUCCESS,"PING,58,1779955308.294464","ACK,PING,58,1779955308.294464,RSSI=-73"
59,2026-05-28T16:01:49,124.42470799999228,SUCCESS,"PING,59,1779955309.405432","ACK,PING,59,1779955309.405432,RSSI=-72"
60,2026-05-28T16:01:50,355.0587080000014,SUCCESS,"PING,60,1779955310.535143","ACK,PING,60,1779955310.535143,RSSI=-74"
61,2026-05-28T16:01:51,92.90354200000195,SUCCESS,"PING,61,1779955311.892904","ACK,PING,61,1779955311.892904,RSSI=-74"
62,2026-05-28T16:01:53,122.42733300000452,SUCCESS,"PING,62,1779955312.9911392","ACK,PING,62,1779955312.9911392,RSSI=-73"
63,2026-05-28T16:01:54,137.7742909999995,SUCCESS,"PING,63,1779955314.119029","ACK,PING,63,1779955314.119029,RSSI=-71"
64,2026-05-28T16:01:55,308.8611659999998,SUCCESS,"PING,64,1779955315.257067","ACK,PING,64,1779955315.257067,RSSI=-64"
65,2026-05-28T16:01:56,133.334375000004,SUCCESS,"PING,65,1779955316.569675","ACK,PING,65,1779955316.569675,RSSI=-71"
66,2026-05-28T16:01:57,117.12433399999611,SUCCESS,"PING,66,1779955317.705499","ACK,PING,66,1779955317.705499,RSSI=-73"
67,2026-05-28T16:01:58,16.276375000003895,SUCCESS,"PING,67,1779955318.827832","ACK,PING,67,1779955318.827832,RSSI=-73"
68,2026-05-28T16:01:59,121.7542079999987,SUCCESS,"PING,68,1779955319.849687","ACK,PING,68,1779955319.849687,RSSI=-70"
69,2026-05-28T16:02:01,328.721833000003,SUCCESS,"PING,69,1779955320.9769962","ACK,PING,69,1779955320.9769962,RSSI=-70"
